group,airplane,year,TotalSystemRevenuePassenger ,TotalSystemPassengerYield,TotalSystemLoadFactor,TotalSystemPassengerRevenue ,DepartedSeats,PacificPassengerRevenue,PacificRPM,PacificRPMPercentage,PacificPassengerYield,PacificLoadFactor,PacificASM,PacificASMPercentage,PacificPassengerRevenuePercentage,PacificPassengerRASM,PacificAircraftFuelExpense,InternationalRPM,InternationalPassengerYield ,InternationalPassengerRevenue,InternationalPassengerRASM,InternationalLoadFactor ,InternationalASMPercentage,InternationalRPMPercentage,DomesticPassengerRevenue,DomesticRPMPercentage,DomesticRPM,DomesticPassengerYield,DomesticPassengerRASM,DomesticPassengerRevenuePercentage,DomesticLoadFactor ,DomesticASM,DomesticASMPercentage ,DomesticAircraftFuelExpense,AtlanticPassengerRevenue,AtlanticRPM,AtlanticPassengerYield ,AtlanticLoadFactor,AtlanticASM,AtlanticASMPercentage,AtlanticRPMPercentage,AtlanticPassengerRASM,AtlanticPassengerRevenuePercentage,AtlanticAircraftFuelExpense,LatinPassengerRevenue,LatinASMPercentage,LatinRPM,LatinRPMPercentage,LatinPassengerYield,LatinPassengerRevenuePercentage,LatinPassengerRASM,LatinLoadFactor,LatinAircraftFuelExpense,LatinASM,InternationalPassengerRevenuePercentage,InternationalASM,TotalSystemPassengerRASM ,TotalSystemASM,TotalSystemEnplanedPassengers
Network,American,1996,104618,13.03,0.68,13632,131502,273,2034,0.019,13.44,0.77,2653,0.017,0.02,10.31,0.04,31745,13.03,4137,9.12,0.7,0.297,0.303,9495,0.697,72874,13.03,8.84,0.697,0.68,107438,0.703,1.29,1695,14498,11.69,0.76,19085,0.125,0.139,8.88,0.124,0.24,2168,0.155,15213,0.145,14.25,0.159,9.18,0.64,0.3,23621,0.303,45358,8.92,152796,79388
Network,American,1997,107030,13.35,0.7,14284,131554,264,2045,0.019,12.93,0.78,2624,0.017,0.019,10.08,0.04,32673,13.52,4418,9.68,0.72,0.297,0.305,9866,0.695,74357,13.27,9.11,0.691,0.69,108271,0.703,1.28,1725,14322,12.05,0.79,18109,0.118,0.134,9.53,0.121,0.23,2428,0.162,16306,0.152,14.89,0.17,9.75,0.65,0.32,24919,0.309,45652,9.28,153923,81138
Network,American,1998,108957,13.48,0.7,14688,130188,296,2395,0.022,12.36,0.71,3392,0.022,0.02,8.73,0.04,34080,13.04,4443,9.15,0.7,0.313,0.313,10245,0.687,74877,13.68,9.6,0.698,0.7,106746,0.687,1.05,1748,14577,11.99,0.78,18606,0.12,0.134,9.39,0.119,0.18,2399,0.171,17108,0.157,14.02,0.163,9.03,0.64,0.28,26557,0.302,48555,9.46,155302,81477
Network,American,1999,111745,12.94,0.7,14456,133729,401,3470,0.031,11.56,0.71,4903,0.031,0.028,8.18,0.05,35923,12.15,4363,8.66,0.71,0.314,0.321,10092,0.679,75822,13.31,9.17,0.698,0.69,110033,0.686,1.1,1716,15410,11.13,0.77,19963,0.124,0.138,8.59,0.119,0.19,2246,0.159,17043,0.153,13.18,0.155,8.8,0.67,0.25,25539,0.302,50405,9.01,160438,81508
Network,American,2000,116595,14.04,0.72,16371,138292,468,3876,0.033,12.07,0.77,5011,0.031,0.029,9.34,0.07,38080,13,4951,9.59,0.74,0.321,0.327,11419,0.673,78515,14.54,10.44,0.698,0.72,109417,0.679,1.64,2046,16726,12.23,0.79,21298,0.132,0.143,9.6,0.125,0.3,2438,0.157,17477,0.15,13.95,0.149,9.63,0.69,0.36,25308,0.302,51617,10.17,161035,86382
Network,American,2001,106343,13.24,0.69,14084,130007,403,3740,0.035,10.78,0.73,5155,0.034,0.029,7.82,0.08,34808,12.74,4434,9.03,0.71,0.321,0.327,9650,0.673,71535,13.49,9.27,0.685,0.69,104116,0.679,1.64,1735,14903,11.64,0.73,20297,0.132,0.14,8.55,0.123,0.31,2296,0.154,16166,0.152,14.2,0.163,9.7,0.68,0.37,23659,0.315,49111,9.19,153227,78179
Network,American,2002,121781,11.84,0.71,14418,154161,325,3158,0.026,10.29,0.79,3997,0.023,0.023,8.13,0.06,34566,11.88,4106,8.65,0.73,0.276,0.284,10312,0.716,87215,11.82,8.26,0.715,0.7,124777,0.724,1.77,1672,15697,10.65,0.79,19983,0.116,0.129,8.37,0.116,0.27,2109,0.136,15711,0.129,13.42,0.146,8.98,0.67,0.31,23483,0.285,47463,8.37,172240,94130
Network,American,2003,120335,11.83,0.73,14236,140898,323,3143,0.026,10.27,0.75,4210,0.025,0.023,7.67,0.07,35577,11.69,4159,8.53,0.73,0.295,0.296,10076,0.704,84758,11.89,8.65,0.708,0.73,116497,0.705,1.86,1678,16062,10.45,0.78,20581,0.125,0.133,8.16,0.118,0.32,2158,0.145,16372,0.136,13.18,0.152,9.01,0.68,0.34,23940,0.292,48731,8.62,165229,88889
Network,American,2004,130168,11.51,0.75,14983,139058,473,4325,0.033,10.95,0.8,5377,0.031,0.032,8.81,0.13,41695,12.01,5009,8.91,0.74,0.323,0.32,9974,0.68,88473,11.27,8.47,0.666,0.75,117801,0.677,2.51,2058,18269,11.27,0.81,22467,0.129,0.14,9.16,0.137,0.48,2477,0.163,19101,0.147,12.97,0.165,8.73,0.67,0.54,28374,0.334,56219,8.61,174020,91620
Network,American,2005,138377,11.98,0.79,16572,141070,569,5418,0.039,10.51,0.77,6997,0.04,0.034,8.13,0.22,46460,12.49,5801,9.51,0.76,0.346,0.336,10771,0.664,91917,11.72,9.36,0.65,0.8,115136,0.654,3.35,2395,19624,12.2,0.82,23971,0.136,0.142,9.99,0.145,0.71,2836,0.17,21418,0.155,13.24,0.171,9.45,0.71,0.8,30011,0.35,60979,9.41,176116,98098
