region,index,value,year
Atlantic,RPM,68761,1995
Domestic,ASM,614610,1995
Domestic,RPM,402776,1995
International,ASM,210131,1995
International,RPM,151032,1995
Latin,ASM,39899,1995
Latin,RPM,25163,1995
Pacific,ASM,78944,1995
Pacific,RPM,57109,1995
TotalSystem,ASM,829581,1995
TotalSystem,RPM,557234,1995
Atlantic,ASM,91288,1995
Atlantic,RPM,68712,1996
Domestic,ASM,641732,1996
Domestic,RPM,436647,1996
International,ASM,214102,1996
International,RPM,156796,1996
Latin,ASM,43107,1996
Latin,RPM,27664,1996
Pacific,ASM,80822,1996
Pacific,RPM,60420,1996
TotalSystem,ASM,862621,1996
TotalSystem,RPM,598203,1996
Atlantic,ASM,90173,1996
Atlantic,RPM,73398,1997
Domestic,ASM,655849,1997
Domestic,RPM,453023,1997
International,ASM,222572,1997
International,RPM,164848,1997
Latin,ASM,45940,1997
Latin,RPM,30055,1997
Pacific,ASM,82939,1997
Pacific,RPM,61395,1997
TotalSystem,ASM,884192,1997
TotalSystem,RPM,622234,1997
Atlantic,ASM,93693,1997
Atlantic,RPM,78030,1998
Domestic,ASM,661495,1998
Domestic,RPM,463618,1998
International,ASM,229758,1998
International,RPM,166962,1998
Latin,ASM,52975,1998
Latin,RPM,33375,1998
Pacific,ASM,76179,1998
Pacific,RPM,55557,1998
TotalSystem,ASM,898359,1998
TotalSystem,RPM,635795,1998
Atlantic,ASM,100604,1998
Atlantic,RPM,84251,1999
Domestic,ASM,701176,1999
Domestic,RPM,489655,1999
International,ASM,235797,1999
International,RPM,175316,1999
Latin,ASM,52108,1999
Latin,RPM,34818,1999
Pacific,ASM,75090,1999
Pacific,RPM,56247,1999
TotalSystem,ASM,945245,1999
TotalSystem,RPM,670779,1999
Atlantic,ASM,108599,1999
Atlantic,RPM,90703,2000
Domestic,ASM,725929,2000
Domestic,RPM,515703,2000
International,ASM,246924,2000
International,RPM,187404,2000
Latin,ASM,52995,2000
Latin,RPM,36663,2000
Pacific,ASM,78538,2000
Pacific,RPM,60038,2000
TotalSystem,ASM,980769,2000
TotalSystem,RPM,708762,2000
Atlantic,ASM,115391,2000
Atlantic,RPM,82548,2001
Domestic,ASM,706867,2001
Domestic,RPM,503471,2001
International,ASM,238905,2001
International,RPM,173617,2001
Latin,ASM,52773,2001
Latin,RPM,35849,2001
Pacific,ASM,75347,2001
Pacific,RPM,55219,2001
TotalSystem,ASM,953875,2001
TotalSystem,RPM,725027,2001
Atlantic,ASM,110785,2001
Atlantic,RPM,80010,2002
Domestic,ASM,686721,2002
Domestic,RPM,483253,2002
International,ASM,219151,2002
International,RPM,167341,2002
Latin,ASM,52987,2002
Latin,RPM,35570,2002
Pacific,ASM,64317,2002
Pacific,RPM,51761,2002
TotalSystem,ASM,913561,2002
TotalSystem,RPM,654337,2002
Atlantic,ASM,101848,2002
Atlantic,RPM,76777,2003
Domestic,ASM,697012,2003
Domestic,RPM,505420,2003
International,ASM,211833,2003
International,RPM,161066,2003
Latin,ASM,54528,2003
Latin,RPM,38149,2003
Pacific,ASM,59127,2003
Pacific,RPM,46140,2003
TotalSystem,ASM,922408,2003
TotalSystem,RPM,674137,2003
Atlantic,ASM,98178,2003
Atlantic,RPM,86737,2004
Domestic,ASM,750902,2004
Domestic,RPM,557936,2004
International,ASM,234855,2004
International,RPM,185009,2004
Latin,ASM,62109,2004
Latin,RPM,43513,2004
Pacific,ASM,65795,2004
Pacific,RPM,54758,2004
TotalSystem,ASM,1000027,2004
TotalSystem,RPM,752266,2004
Atlantic,ASM,106952,2004
Atlantic,RPM,92154,2005
Domestic,ASM,758665,2005
Domestic,RPM,583625,2005
International,ASM,255356,2005
International,RPM,201935,2005
Latin,ASM,68865,2005
Latin,RPM,49673,2005
Pacific,ASM,73268,2005
Pacific,RPM,60109,2005
TotalSystem,ASM,1029253,2005
TotalSystem,RPM,795096,2005
Atlantic,ASM,113223,2005
Atlantic,RPM,97468,2006
Domestic,ASM,746002,2006
Domestic,RPM,590592,2006
International,ASM,268690,2006
